814 57 149 
47 293 72 
149 846 447 
483 846 293 
291 726 57 
293 47 387 
387 483 293 
149 447 804 
804 814 149 
937 387 47 
483 387 862 
846 483 394 
910 68 394 
394 447 846 
394 68 447 
365 291 57 
57 814 365 
72 726 636 
636 47 72 
355 862 387 
387 937 355 
888 804 697 
697 804 447 
447 68 697 
843 365 814 
2 365 843 
546 937 47 
47 636 546 
131 253 291 
291 365 131 
131 365 2 
726 291 97 
291 253 97 
97 636 726 
925 636 97 
529 355 119 
862 355 529 
483 862 769 
769 394 483 
910 394 769 
502 697 68 
2 843 949 
129 636 925 
129 546 636 
925 114 129 
937 546 390 
925 97 512 
512 97 253 
499 769 862 
499 139 43 
862 529 499 
529 139 499 
181 499 43 
769 499 181 
910 769 181 
181 744 910 
66 512 253 
140 512 66 
604 131 2 
156 529 119 
156 139 529 
155 470 263 
910 744 553 
553 68 910 
553 502 68 
486 181 43 
744 181 486 
697 502 771 
502 470 771 
888 697 771 
474 432 623 
623 471 474 
623 432 284 
48 804 888 
814 804 48 
48 843 814 
24 877 949 
142 877 24 
24 474 142 
432 474 24 
566 66 253 
253 131 566 
131 604 566 
566 604 967 
140 66 654 
69 604 2 
2 949 69 
949 877 69 
69 877 564 
525 156 119 
252 36 471 
909 472 263 
263 470 909 
909 470 502 
502 553 909 
701 486 43 
844 486 701 
139 156 383 
646 274 472 
472 909 646 
646 553 744 
646 909 553 
648 486 844 
274 646 648 
744 486 648 
648 646 744 
472 274 979 
470 155 830 
830 771 470 
505 474 471 
471 36 505 
505 36 668 
142 474 505 
283 655 574 
574 655 114 
885 94 666 
283 574 885 
885 574 94 
140 94 7 
925 512 7 
7 512 140 
7 114 925 
7 574 114 
94 574 7 
80 655 283 
256 655 237 
546 129 256 
256 129 114 
114 655 256 
256 390 546 
256 237 390 
329 525 969 
432 24 8 
8 24 949 
8 949 843 
843 48 8 
881 94 140 
140 654 881 
666 94 881 
66 566 707 
707 654 66 
707 566 967 
36 252 201 
163 471 623 
163 252 471 
844 701 583 
583 441 844 
844 441 379 
379 648 844 
274 648 379 
290 701 43 
43 139 290 
139 383 290 
813 383 156 
813 525 329 
156 525 813 
888 771 612 
771 830 612 
830 784 612 
612 784 284 
760 885 666 
420 157 6 
604 69 718 
967 604 718 
718 69 564 
564 807 718 
762 877 142 
564 877 762 
962 188 901 
668 823 901 
618 762 188 
618 807 564 
564 762 618 
50 505 668 
668 901 50 
50 901 188 
142 505 50 
50 762 142 
188 762 50 
237 655 538 
655 80 538 
329 969 608 
547 321 608 
937 390 12 
119 355 12 
12 355 937 
390 237 113 
113 12 390 
432 8 346 
888 612 346 
346 48 888 
346 8 48 
346 284 432 
346 612 284 
796 830 155 
155 92 796 
796 784 830 
985 784 796 
661 155 263 
661 92 155 
22 661 514 
92 661 22 
623 284 527 
527 163 623 
284 784 527 
527 784 985 
369 619 506 
251 619 369 
943 667 40 
40 630 943 
367 979 943 
943 630 367 
367 630 514 
514 630 685 
441 583 75 
75 247 441 
75 583 137 
137 897 75 
943 979 221 
221 667 943 
221 979 274 
274 379 221 
848 369 506 
506 619 467 
352 897 137 
783 897 352 
701 290 21 
137 583 21 
21 583 701 
438 813 329 
329 608 438 
438 608 321 
283 885 481 
885 760 481 
481 760 822 
822 420 481 
157 420 871 
871 513 157 
999 513 871 
871 420 822 
834 420 6 
834 481 420 
834 80 283 
283 481 834 
962 901 766 
766 901 823 
668 36 212 
212 823 668 
36 201 212 
10 538 80 
80 834 10 
453 945 10 
10 945 538 
6 453 10 
10 834 6 
683 608 969 
547 608 683 
719 683 421 
421 683 969 
12 113 507 
507 969 525 
507 421 969 
113 421 507 
507 525 119 
119 12 507 
434 321 547 
547 143 434 
985 85 158 
158 527 985 
163 527 158 
670 652 348 
567 652 761 
557 85 318 
318 818 557 
557 158 85 
980 818 318 
318 85 159 
123 428 572 
572 428 239 
168 913 601 
9 414 190 
991 414 9 
514 661 240 
240 367 514 
240 661 263 
979 367 240 
263 472 240 
472 979 240 
825 22 514 
514 685 825 
159 22 511 
825 511 22 
300 511 825 
825 685 300 
535 685 630 
193 220 535 
535 40 193 
630 40 535 
422 591 220 
876 663 265 
591 422 372 
889 663 876 
889 511 300 
300 983 889 
889 983 663 
633 897 783 
153 379 441 
153 221 379 
153 247 791 
441 247 153 
667 221 153 
791 205 153 
153 205 667 
162 971 168 
753 848 506 
327 467 619 
650 768 783 
783 352 650 
688 768 650 
383 813 679 
321 434 302 
613 513 797 
797 513 999 
95 896 208 
677 446 693 
627 677 261 
31 766 823 
104 78 391 
175 446 330 
357 421 113 
237 538 357 
357 113 237 
719 421 357 
357 945 719 
538 945 357 
714 881 654 
816 188 962 
816 618 188 
358 434 143 
358 750 913 
490 677 693 
261 677 490 
652 670 166 
638 761 166 
761 652 166 
670 883 166 
166 883 242 
348 652 599 
652 567 599 
599 95 348 
818 567 730 
730 557 818 
730 567 761 
876 980 409 
409 889 876 
511 889 409 
409 980 318 
318 159 409 
409 159 511 
92 22 556 
22 159 556 
556 159 85 
556 85 985 
985 796 556 
556 796 92 
468 616 620 
363 468 620 
255 468 363 
108 513 613 
157 513 108 
528 345 176 
345 108 176 
613 833 176 
176 108 613 
239 428 459 
428 750 459 
686 17 143 
686 143 547 
547 683 686 
309 572 239 
488 572 309 
309 299 488 
528 176 214 
214 176 833 
575 601 249 
249 750 428 
913 750 249 
249 601 913 
249 428 123 
123 575 249 
501 40 667 
667 205 501 
193 40 501 
501 205 118 
328 118 270 
300 685 451 
685 535 451 
451 535 220 
220 591 451 
451 983 300 
591 983 451 
268 372 900 
900 372 422 
33 220 193 
33 422 220 
663 983 610 
591 372 610 
610 983 591 
897 633 49 
247 75 49 
49 75 897 
907 884 121 
121 884 777 
907 121 757 
757 121 327 
506 467 887 
467 87 887 
887 87 768 
887 768 688 
887 753 506 
688 753 887 
465 352 137 
137 21 465 
500 290 383 
383 679 500 
500 21 290 
500 465 21 
813 438 18 
18 679 813 
971 162 596 
596 162 848 
848 753 596 
758 302 434 
758 913 168 
168 971 758 
971 302 758 
758 358 913 
434 358 758 
613 797 127 
127 833 613 
584 341 127 
127 341 833 
336 899 406 
95 208 998 
348 95 998 
984 208 896 
656 208 984 
330 446 469 
446 677 469 
677 627 469 
951 627 261 
261 998 951 
951 998 208 
951 30 627 
951 208 656 
656 30 951 
638 166 898 
898 166 242 
898 201 638 
898 212 201 
823 212 689 
689 31 823 
212 898 689 
628 31 689 
689 242 628 
689 898 242 
285 31 628 
839 175 46 
666 881 59 
881 714 59 
759 714 4 
4 865 759 
4 714 654 
654 707 4 
275 707 967 
275 4 707 
865 4 275 
370 816 962 
370 77 103 
103 77 227 
987 644 385 
396 644 895 
296 385 396 
396 385 644 
699 396 895 
743 555 987 
251 369 244 
168 601 560 
560 162 168 
261 490 120 
348 998 120 
120 998 261 
120 670 348 
628 242 215 
242 883 215 
