814 57 
57 149 
149 814 
47 293 
293 72 
72 47 
149 846 
846 447 
447 149 
483 846 
846 293 
293 483 
291 726 
726 57 
57 291 
47 387 
387 293 
387 483 
447 804 
804 149 
804 814 
937 387 
47 937 
387 862 
862 483 
483 394 
394 846 
910 68 
68 394 
394 910 
394 447 
68 447 
365 291 
57 365 
814 365 
72 726 
726 636 
636 72 
636 47 
355 862 
387 355 
937 355 
888 804 
804 697 
697 888 
447 697 
68 697 
843 365 
814 843 
2 365 
843 2 
546 937 
47 546 
636 546 
131 253 
253 291 
291 131 
365 131 
2 131 
291 97 
97 726 
253 97 
97 636 
925 636 
97 925 
529 355 
355 119 
119 529 
529 862 
862 769 
769 483 
769 394 
769 910 
502 697 
68 502 
843 949 
949 2 
129 636 
925 129 
129 546 
925 114 
114 129 
546 390 
390 937 
97 512 
512 925 
253 512 
499 769 
862 499 
499 139 
139 43 
43 499 
529 499 
529 139 
181 499 
43 181 
181 769 
181 910 
181 744 
744 910 
66 512 
253 66 
140 512 
66 140 
604 131 
2 604 
156 529 
119 156 
156 139 
155 470 
470 263 
263 155 
744 553 
553 910 
553 68 
553 502 
486 181 
43 486 
486 744 
502 771 
771 697 
502 470 
470 771 
771 888 
474 432 
432 623 
623 474 
623 471 
471 474 
432 284 
284 623 
48 804 
888 48 
48 814 
48 843 
24 877 
877 949 
949 24 
142 877 
24 142 
24 474 
474 142 
24 432 
566 66 
253 566 
131 566 
604 566 
604 967 
967 566 
66 654 
654 140 
69 604 
2 69 
949 69 
877 69 
877 564 
564 69 
525 156 
119 525 
252 36 
36 471 
471 252 
909 472 
472 263 
263 909 
470 909 
502 909 
553 909 
701 486 
43 701 
844 486 
701 844 
156 383 
383 139 
646 274 
274 472 
472 646 
909 646 
646 553 
744 646 
648 486 
844 648 
646 648 
648 274 
648 744 
274 979 
979 472 
155 830 
830 470 
830 771 
505 474 
471 505 
36 505 
36 668 
668 505 
505 142 
283 655 
655 574 
574 283 
655 114 
114 574 
885 94 
94 666 
666 885 
574 885 
885 283 
574 94 
140 94 
94 7 
7 140 
512 7 
7 925 
7 114 
7 574 
80 655 
283 80 
256 655 
655 237 
237 256 
129 256 
256 546 
114 256 
256 390 
237 390 
329 525 
525 969 
969 329 
24 8 
8 432 
949 8 
843 8 
48 8 
881 94 
140 881 
654 881 
881 666 
566 707 
707 66 
707 654 
967 707 
252 201 
201 36 
163 471 
623 163 
163 252 
701 583 
583 844 
583 441 
441 844 
441 379 
379 844 
379 648 
379 274 
290 701 
43 290 
139 290 
383 290 
813 383 
156 813 
813 525 
329 813 
771 612 
612 888 
830 612 
830 784 
784 612 
784 284 
284 612 
760 885 
666 760 
420 157 
157 6 
6 420 
69 718 
718 604 
718 967 
564 718 
564 807 
807 718 
762 877 
142 762 
762 564 
962 188 
188 901 
901 962 
668 823 
823 901 
901 668 
618 762 
762 188 
188 618 
618 807 
564 618 
50 505 
668 50 
901 50 
188 50 
50 142 
50 762 
655 538 
538 237 
80 538 
969 608 
608 329 
547 321 
321 608 
608 547 
390 12 
12 937 
355 12 
12 119 
237 113 
113 390 
113 12 
8 346 
346 432 
612 346 
346 888 
346 48 
346 284 
796 830 
155 796 
155 92 
92 796 
796 784 
985 784 
796 985 
661 155 
263 661 
661 92 
22 661 
661 514 
514 22 
22 92 
284 527 
527 623 
527 163 
784 527 
985 527 
369 619 
619 506 
506 369 
251 619 
369 251 
943 667 
667 40 
40 943 
40 630 
630 943 
367 979 
979 943 
943 367 
630 367 
630 514 
514 367 
630 685 
685 514 
583 75 
75 441 
75 247 
247 441 
583 137 
137 75 
137 897 
897 75 
979 221 
221 943 
221 667 
274 221 
379 221 
848 369 
506 848 
619 467 
467 506 
352 897 
137 352 
783 897 
352 783 
290 21 
21 701 
583 21 
21 137 
438 813 
329 438 
608 438 
321 438 
885 481 
481 283 
760 481 
760 822 
822 481 
822 420 
420 481 
420 871 
871 157 
871 513 
513 157 
999 513 
871 999 
822 871 
834 420 
6 834 
834 481 
834 80 
283 834 
901 766 
766 962 
823 766 
36 212 
212 668 
212 823 
201 212 
10 538 
80 10 
834 10 
453 945 
945 10 
10 453 
945 538 
6 453 
10 6 
683 608 
969 683 
683 547 
719 683 
683 421 
421 719 
969 421 
113 507 
507 12 
507 969 
525 507 
507 421 
113 421 
119 507 
434 321 
547 434 
547 143 
143 434 
985 85 
85 158 
158 985 
158 527 
158 163 
670 652 
652 348 
348 670 
567 652 
652 761 
761 567 
557 85 
85 318 
318 557 
318 818 
818 557 
557 158 
980 818 
318 980 
85 159 
159 318 
123 428 
428 572 
572 123 
428 239 
239 572 
168 913 
913 601 
601 168 
9 414 
414 190 
190 9 
991 414 
9 991 
661 240 
240 514 
240 367 
263 240 
240 979 
472 240 
825 22 
514 825 
685 825 
159 22 
22 511 
511 159 
825 511 
300 511 
825 300 
685 300 
535 685 
630 535 
193 220 
220 535 
535 193 
535 40 
40 193 
422 591 
591 220 
220 422 
876 663 
663 265 
265 876 
422 372 
372 591 
889 663 
876 889 
889 511 
300 889 
300 983 
983 889 
983 663 
633 897 
783 633 
153 379 
441 153 
153 221 
153 247 
247 791 
791 153 
153 667 
791 205 
205 153 
205 667 
162 971 
971 168 
168 162 
753 848 
506 753 
327 467 
619 327 
650 768 
768 783 
783 650 
352 650 
688 768 
650 688 
813 679 
679 383 
434 302 
302 321 
613 513 
513 797 
797 613 
999 797 
95 896 
896 208 
208 95 
677 446 
446 693 
693 677 
627 677 
677 261 
261 627 
31 766 
823 31 
104 78 
78 391 
391 104 
175 446 
446 330 
330 175 
357 421 
113 357 
538 357 
357 237 
357 719 
357 945 
945 719 
714 881 
654 714 
816 188 
962 816 
816 618 
358 434 
143 358 
358 750 
750 913 
913 358 
490 677 
693 490 
490 261 
670 166 
166 652 
638 761 
761 166 
166 638 
670 883 
883 166 
883 242 
242 166 
652 599 
599 348 
567 599 
599 95 
95 348 
818 567 
567 730 
730 818 
730 557 
761 730 
876 980 
980 409 
409 876 
409 889 
409 511 
318 409 
159 409 
22 556 
556 92 
159 556 
85 556 
985 556 
796 556 
468 616 
616 620 
620 468 
363 468 
620 363 
255 468 
363 255 
108 513 
613 108 
108 157 
528 345 
345 176 
176 528 
345 108 
108 176 
613 833 
833 176 
176 613 
428 459 
459 239 
428 750 
750 459 
686 17 
17 143 
143 686 
547 686 
683 686 
309 572 
239 309 
488 572 
309 488 
309 299 
299 488 
176 214 
214 528 
833 214 
575 601 
601 249 
249 575 
249 750 
428 249 
249 913 
123 249 
123 575 
501 40 
667 501 
205 501 
501 193 
205 118 
118 501 
328 118 
118 270 
270 328 
685 451 
451 300 
535 451 
220 451 
591 451 
451 983 
591 983 
268 372 
372 900 
900 268 
422 900 
33 220 
193 33 
33 422 
983 610 
610 663 
372 610 
610 591 
633 49 
49 897 
75 49 
49 247 
907 884 
884 121 
121 907 
884 777 
777 121 
121 757 
757 907 
121 327 
327 757 
467 887 
887 506 
467 87 
87 887 
87 768 
768 887 
688 887 
887 753 
688 753 
465 352 
137 465 
21 465 
500 290 
383 500 
679 500 
500 21 
500 465 
438 18 
18 813 
18 679 
162 596 
596 971 
162 848 
848 596 
753 596 
758 302 
434 758 
758 913 
168 758 
971 758 
971 302 
758 358 
797 127 
127 613 
127 833 
584 341 
341 127 
127 584 
341 833 
336 899 
899 406 
406 336 
208 998 
998 95 
998 348 
984 208 
896 984 
656 208 
984 656 
446 469 
469 330 
677 469 
627 469 
951 627 
261 951 
261 998 
998 951 
208 951 
951 30 
30 627 
656 951 
656 30 
166 898 
898 638 
242 898 
898 201 
201 638 
898 212 
212 689 
689 823 
689 31 
898 689 
628 31 
689 628 
689 242 
242 628 
