222 28 538 
302 583 257 
538 654 512 
822 538 28 
512 654 750 
139 723 209 
28 139 822 
129 822 139 
601 209 723 
157 719 583 
800 222 538 
538 512 800 
97 114 868 
583 302 840 
719 257 583 
714 257 719 
129 139 434 
157 129 719 
719 129 434 
421 257 289 
257 421 302 
222 800 528 
945 528 800 
390 23 945 
800 512 390 
945 800 390 
750 860 969 
969 860 103 
143 842 862 
601 756 209 
62 842 357 
209 434 139 
143 601 758 
6 209 756 
723 758 601 
302 868 114 
47 868 421 
714 289 257 
750 1 860 
840 860 1 
654 1 750 
114 840 302 
237 97 66 
860 604 103 
604 114 237 
97 237 114 
114 604 840 
860 840 604 
443 103 604 
967 443 237 
77 429 390 
608 714 6 
6 434 209 
719 434 714 
868 302 421 
47 421 844 
528 481 312 
862 601 143 
28 723 139 
420 62 357 
143 357 842 
758 453 143 
413 98 111 
521 111 98 
17 142 345 
23 390 429 
77 390 512 
345 77 969 
345 429 77 
512 750 77 
750 969 77 
62 14 842 
434 6 714 
731 312 481 
312 731 495 
721 28 222 
721 222 445 
222 528 445 
312 445 528 
797 73 966 
127 482 692 
759 97 868 
759 910 97 
131 508 759 
885 508 48 
868 47 759 
156 131 387 
910 759 508 
103 443 521 
925 521 443 
98 80 521 
103 521 80 
80 969 103 
17 345 80 
413 962 280 
962 938 356 
413 111 564 
938 962 207 
67 280 962 
413 280 98 
98 280 17 
66 910 441 
910 66 97 
508 885 394 
842 14 683 
176 525 14 
666 176 482 
829 608 547 
475 608 6 
495 731 946 
481 945 415 
945 481 528 
481 45 731 
481 415 45 
23 415 945 
578 45 415 
711 491 569 
737 170 700 
59 253 449 
960 250 169 
445 312 584 
548 584 495 
28 721 723 
723 721 758 
721 287 758 
445 287 721 
548 495 200 
287 584 513 
996 976 341 
735 864 315 
319 716 100 
341 770 996 
170 319 770 
113 871 797 
692 420 871 
339 871 809 
420 797 871 
797 420 73 
131 48 508 
604 237 443 
967 925 443 
967 237 66 
925 967 697 
80 98 17 
172 17 280 
707 429 142 
969 80 345 
589 207 564 
760 707 27 
142 27 707 
429 345 142 
27 142 172 
962 413 207 
962 356 67 
248 938 595 
412 66 441 
441 910 394 
636 72 897 
508 394 910 
280 67 172 
67 279 655 
683 862 842 
683 574 862 
862 756 601 
6 756 475 
14 62 482 
14 482 176 
420 692 62 
530 666 127 
829 289 608 
714 608 289 
566 23 707 
566 415 23 
429 707 23 
256 566 760 
256 578 566 
200 449 253 
495 946 250 
634 613 960 
73 357 453 
357 73 420 
287 513 453 
73 453 513 
453 758 287 
357 143 453 
224 946 731 
752 224 130 
522 317 410 
313 64 875 
882 542 313 
313 43 882 
875 317 861 
875 861 313 
309 176 465 
52 530 460 
299 992 307 
780 488 576 
754 488 308 
716 319 371 
170 371 319 
923 13 826 
569 341 745 
319 100 996 
864 743 716 
315 716 371 
931 418 100 
323 976 418 
62 692 482 
113 797 253 
71 113 59 
548 966 513 
200 253 966 
548 200 966 
168 613 634 
59 711 71 
613 59 449 
624 857 921 
950 921 906 
739 624 204 
204 921 549 
704 405 314 
221 769 636 
394 885 897 
274 885 48 
394 897 72 
938 207 718 
595 938 718 
718 891 595 
697 412 949 
72 10 441 
412 697 967 
66 412 967 
564 207 413 
423 564 111 
612 623 423 
589 718 207 
786 216 70 
216 786 281 
655 279 7 
27 172 655 
639 760 27 
655 172 67 
17 172 142 
289 844 421 
289 829 844 
683 14 525 
525 283 683 
756 862 574 
574 475 756 
574 683 283 
578 335 130 
573 84 335 
130 335 84 
415 566 578 
332 256 760 
335 578 256 
187 882 545 
491 711 168 
613 168 711 
881 700 168 
200 250 449 
312 495 584 
960 449 250 
548 513 584 
445 584 287 
250 200 495 
946 169 250 
882 187 542 
317 875 803 
84 803 875 
84 875 64 
803 84 573 
110 189 551 
219 110 658 
410 284 522 
522 792 317 
580 565 397 
396 503 79 
465 52 585 
666 530 52 
32 460 239 
307 524 5 
52 460 358 
585 52 358 
239 299 307 
691 576 323 
780 691 798 
323 418 691 
869 828 867 
247 246 161 
826 658 923 
737 788 826 
86 923 658 
13 651 735 
315 371 13 
658 826 788 
826 13 371 
735 315 13 
93 510 34 
780 20 488 
961 798 510 
798 961 780 
931 34 798 
576 691 780 
996 100 418 
996 418 976 
590 214 745 
34 931 100 
323 590 976 
214 590 299 
127 79 530 
482 127 666 
79 127 339 
692 339 127 
79 598 396 
503 396 239 
745 561 569 
561 745 214 
590 323 992 
745 976 590 
569 71 711 
71 569 561 
976 745 341 
341 569 491 
770 341 491 
711 59 613 
71 561 809 
598 79 339 
809 113 71 
113 809 871 
339 809 598 
253 59 113 
513 966 73 
797 966 253 
314 857 911 
628 906 485 
857 314 405 
336 927 852 
314 927 704 
405 704 904 
704 927 336 
353 628 485 
549 950 785 
405 906 857 
10 883 949 
883 10 769 
579 653 725 
505 471 54 
841 891 661 
623 612 796 
796 346 623 
796 8 346 
804 346 155 
99 24 660 
316 676 384 
162 424 248 
676 316 424 
521 925 111 
589 564 623 
423 697 612 
564 423 623 
697 423 925 
111 925 423 
384 816 70 
384 978 316 
978 216 231 
384 70 978 
216 978 70 
999 844 829 
999 829 365 
575 574 283 
575 547 475 
574 575 475 
475 547 608 
301 573 335 
332 301 256 
86 658 110 
43 219 882 
219 788 545 
64 542 752 
84 64 130 
64 313 542 
169 542 187 
881 634 545 
634 960 187 
449 960 613 
542 169 752 
641 522 284 
803 410 317 
803 573 410 
104 417 984 
381 455 343 
773 326 641 
792 522 702 
641 702 522 
792 702 856 
749 792 856 
684 154 893 
725 462 934 
611 934 457 
476 305 732 
921 857 906 
904 485 405 
597 353 615 
405 485 906 
530 79 503 
299 239 396 
488 524 576 
992 576 524 
598 214 396 
992 299 590 
12 575 438 
547 575 12 
576 992 323 
691 418 931 
299 396 214 
214 598 561 
561 598 809 
871 339 692 
276 370 497 
76 425 924 
516 614 736 
370 337 828 
869 496 82 
867 496 869 
519 247 161 
551 86 110 
974 551 189 
86 551 444 
551 320 444 
651 923 234 
519 161 320 
651 13 923 
86 444 923 
444 161 234 
161 444 320 
354 629 454 
919 828 337 
924 919 337 
828 869 217 
370 828 217 
658 788 219 
110 43 189 
861 189 43 
43 110 219 
545 882 219 
43 313 861 
994 404 645 
890 994 620 
586 651 404 
890 586 994 
404 994 586 
671 338 890 
234 246 404 
996 770 319 
170 737 371 
234 404 651 
425 377 439 
754 308 644 
416 93 743 
34 510 798 
20 780 961 
953 510 93 
348 665 801 
763 911 624 
739 763 624 
544 448 489 
785 167 611 
934 611 167 
167 950 628 
167 785 950 
643 397 565 
722 397 88 
397 722 580 
402 580 722 
61 228 533 
88 192 785 
549 192 948 
228 948 192 
921 204 624 
948 204 549 
950 549 921 
852 406 621 
587 621 406 
599 95 364 
801 230 348 
364 406 230 
215 709 587 
929 975 188 
198 455 527 
275 527 175 
621 587 380 
325 928 801 
95 50 825 
646 8 293 
441 394 72 
72 769 10 
366 941 501 
610 422 900 
970 941 422 
776 653 836 
652 846 843 
55 54 901 
814 588 718 
471 661 670 
588 901 670 
343 198 36 
949 883 796 
8 796 883 
412 441 10 
949 796 612 
612 697 949 
10 949 412 
155 8 646 
8 155 346 
883 293 8 
174 241 367 
794 676 162 
794 162 342 
252 175 24 
30 24 527 
670 661 891 
637 816 74 
676 74 384 
807 342 162 
424 162 676 
279 424 316 
816 384 74 
316 7 279 
7 316 978 
978 231 7 
639 7 231 
7 639 655 
27 655 639 
131 156 48 
4 48 156 
759 47 131 
47 387 131 
335 256 301 
760 639 332 
231 332 639 
707 760 566 
187 545 634 
491 168 700 
168 634 881 
169 187 960 
737 826 371 
491 700 770 
770 700 170 
881 545 788 
700 881 737 
788 737 881 
731 45 224 
224 752 946 
578 130 45 
224 45 130 
752 130 64 
169 946 752 
281 284 254 
410 254 284 
573 301 254 
254 410 573 
544 489 820 
173 933 194 
605 138 706 
398 138 391 
839 951 104 
480 789 622 
480 622 417 
789 480 194 
789 194 933 
908 236 31 
236 26 208 
556 152 998 
330 908 872 
330 622 789 
166 261 872 
773 641 865 
284 865 641 
786 865 281 
284 281 865 
189 183 974 
183 792 749 
183 317 792 
749 974 183 
183 861 317 
189 861 183 
974 749 517 
629 354 304 
454 186 893 
70 235 786 
235 70 816 
504 9 879 
296 554 531 
531 310 833 
673 956 60 
664 991 374 
9 374 833 
374 9 408 
956 408 128 
440 873 795 
408 956 136 
740 514 995 
972 359 764 
734 993 727 
988 819 487 
376 955 478 
859 515 957 
609 732 305 
643 565 305 
609 305 565 
859 732 515 
609 515 732 
628 353 171 
934 167 171 
628 171 167 
628 950 906 
728 900 494 
728 997 199 
653 579 199 
494 997 728 
485 615 353 
42 597 657 
515 609 259 
11 609 565 
503 460 530 
327 507 626 
503 239 460 
307 32 239 
699 438 283 
147 671 497 
147 271 671 
586 890 989 
671 271 338 
616 271 361 
497 217 147 
616 953 56 
416 56 93 
736 337 370 
828 919 867 
425 439 919 
425 65 377 
920 363 76 
288 65 363 
65 76 363 
558 924 614 
920 76 558 
919 924 425 
234 161 246 
986 247 340 
629 519 517 
378 849 986 
629 304 519 
247 519 304 
304 340 247 
63 340 724 
246 986 645 
243 620 994 
620 497 671 
378 297 262 
134 243 849 
37 902 306 
724 304 354 
186 454 629 
632 354 454 
454 154 632 
493 632 154 
586 735 651 
338 416 989 
989 864 735 
416 743 864 
496 867 808 
82 361 147 
869 82 217 
60 128 563 
431 377 65 
439 867 919 
9 128 408 
878 873 673 
956 673 58 
531 833 991 
942 135 559 
563 808 439 
808 351 496 
128 504 563 
808 504 351 
338 56 416 
56 338 271 
435 1000 616 
34 743 93 
524 307 992 
931 798 691 
308 488 20 
348 230 406 
230 801 928 
717 665 348 
801 665 627 
693 820 489 
665 717 693 
984 120 104 
857 624 911 
233 35 739 
820 693 717 
448 674 775 
820 314 544 
763 674 911 
674 544 911 
911 544 314 
820 927 314 
927 820 717 
233 821 35 
570 35 821 
763 739 695 
204 233 739 
948 228 333 
228 61 179 
582 179 112 
190 468 476 
397 643 533 
643 305 468 
533 88 397 
785 611 88 
533 192 88 
549 785 192 
852 621 336 
615 657 597 
904 336 680 
717 852 927 
336 904 704 
348 852 717 
406 364 587 
761 929 888 
469 208 26 
381 208 469 
447 78 275 
587 364 215 
95 599 50 
825 980 95 
646 917 470 
769 293 883 
274 897 885 
529 499 973 
91 290 355 
40 18 463 
380 372 657 
917 159 846 
300 159 917 
367 667 483 
930 625 174 
709 380 587 
42 657 372 
466 92 965 
265 220 824 
679 68 291 
263 686 223 
223 68 263 
901 588 804 
814 623 346 
814 804 588 
891 718 588 
623 814 589 
718 589 814 
670 901 54 
54 618 505 
618 54 55 
346 804 814 
55 901 502 
877 432 69 
661 471 347 
175 347 275 
471 505 447 
670 54 471 
78 447 944 
447 347 471 
588 670 891 
78 944 461 
535 663 771 
324 479 806 
932 473 479 
660 855 227 
858 324 427 
855 427 324 
479 858 932 
858 479 324 
15 858 360 
932 858 15 
94 175 252 
660 677 99 
99 252 24 
534 660 24 
794 74 676 
447 275 347 
94 347 175 
252 99 342 
355 156 813 
813 387 999 
844 999 387 
844 387 47 
813 779 91 
365 779 999 
813 999 779 
688 365 12 
