222 28 
28 538 
538 222 
302 583 
583 257 
257 302 
538 654 
654 512 
512 538 
822 538 
28 822 
654 750 
750 512 
139 723 
723 209 
209 139 
28 139 
139 822 
129 822 
139 129 
601 209 
723 601 
157 719 
719 583 
583 157 
800 222 
538 800 
512 800 
97 114 
114 868 
868 97 
302 840 
840 583 
719 257 
714 257 
719 714 
139 434 
434 129 
157 129 
129 719 
434 719 
421 257 
257 289 
289 421 
421 302 
800 528 
528 222 
945 528 
800 945 
390 23 
23 945 
945 390 
512 390 
390 800 
750 860 
860 969 
969 750 
860 103 
103 969 
143 842 
842 862 
862 143 
601 756 
756 209 
62 842 
842 357 
357 62 
209 434 
143 601 
601 758 
758 143 
6 209 
756 6 
723 758 
302 868 
114 302 
47 868 
868 421 
421 47 
714 289 
750 1 
1 860 
840 860 
1 840 
654 1 
114 840 
237 97 
97 66 
66 237 
860 604 
604 103 
604 114 
114 237 
237 604 
604 840 
443 103 
604 443 
967 443 
443 237 
237 967 
77 429 
429 390 
390 77 
608 714 
714 6 
6 608 
6 434 
434 714 
421 844 
844 47 
528 481 
481 312 
312 528 
862 601 
28 723 
420 62 
357 420 
143 357 
758 453 
453 143 
413 98 
98 111 
111 413 
521 111 
98 521 
17 142 
142 345 
345 17 
429 23 
512 77 
345 77 
77 969 
969 345 
345 429 
750 77 
62 14 
14 842 
731 312 
481 731 
731 495 
495 312 
721 28 
222 721 
222 445 
445 721 
528 445 
312 445 
797 73 
73 966 
966 797 
127 482 
482 692 
692 127 
759 97 
868 759 
759 910 
910 97 
131 508 
508 759 
759 131 
885 508 
508 48 
48 885 
47 759 
156 131 
131 387 
387 156 
508 910 
443 521 
521 103 
925 521 
443 925 
98 80 
80 521 
80 103 
80 969 
345 80 
80 17 
413 962 
962 280 
280 413 
962 938 
938 356 
356 962 
111 564 
564 413 
962 207 
207 938 
67 280 
962 67 
280 98 
280 17 
17 98 
66 910 
910 441 
441 66 
885 394 
394 508 
14 683 
683 842 
176 525 
525 14 
14 176 
666 176 
176 482 
482 666 
829 608 
608 547 
547 829 
475 608 
6 475 
731 946 
946 495 
481 945 
945 415 
415 481 
481 45 
45 731 
415 45 
23 415 
578 45 
415 578 
711 491 
491 569 
569 711 
